# One tissue/disease term per row, resolving to each layer's own key. Curated, not derived:
# every rE2G/PCAWG pairing is a judgment (a cell line is not a tumour cohort) — see `note`.
# The plain tissue word keeps the *tissue* biosample rE2G has (so an enhancer-only question
# about "liver" means liver, as it always did); the disease words map to the cancer cell line.
# Both rows carry the same PCAWG codes. aliases: `;`-separated words a question may use.
# re2g: ENCODE biosample ontology id (the byCohort key). pcawg: `,`-separated ICGC project
# codes (the SV cohort unit). Empty = the layer has nothing comparable; the host says so.
term	aliases	re2g	pcawg	note
breast	mammary	UBERON:0008367	BRCA-US,BRCA-UK,BRCA-EU	breast epithelium (tissue)
breast cancer	breast carcinoma;breast tumour;breast tumor	EFO:0001203	BRCA-US,BRCA-UK,BRCA-EU	MCF-7 (ER+ luminal line) vs mixed-subtype cohorts
prostate		UBERON:0002367	PRAD-CA,PRAD-UK,PRAD-US,EOPC-DE	prostate gland (tissue)
prostate cancer	prostate carcinoma;prostate tumour;prostate tumor	EFO:0005726	PRAD-CA,PRAD-UK,PRAD-US,EOPC-DE	LNCaP (androgen-sensitive line); EOPC = early-onset
liver	hepatic	UBERON:0002107	LIRI-JP,LIHC-US,LICA-FR,LINC-JP	liver (tissue)
liver cancer	hepatocellular;HCC;hepatocellular carcinoma	EFO:0001187	LIRI-JP,LIHC-US,LICA-FR,LINC-JP	HepG2 (hepatoblastoma-derived line)
lung	pulmonary	UBERON:0002048	LUAD-US,LUSC-US	lung (tissue)
lung cancer	NSCLC;lung adenocarcinoma;lung carcinoma	EFO:0001086	LUAD-US,LUSC-US	A549 (adenocarcinoma line) also stands in for squamous LUSC
colon	colorectal;bowel;rectal	UBERON:0001157	COAD-US,READ-US	transverse colon (tissue)
colon cancer	colorectal cancer;colorectal carcinoma;CRC	EFO:0002824	COAD-US,READ-US	HCT116 (colon carcinoma line)
pancreas		UBERON:0001264	PACA-AU,PACA-CA,PAEN-AU,PAEN-IT	pancreas (tissue); PAEN = neuroendocrine, a different tumour
pancreatic cancer	pancreatic carcinoma;PDAC	EFO:0002713	PACA-AU,PACA-CA,PAEN-AU,PAEN-IT	Panc1 (ductal line, 1 replicate)
leukemia	CML;AML;myeloid;blood cancer;leukaemia	EFO:0002067	LAML-KR,CMDI-UK	K562 is CML; LAML is AML and CMDI myelodysplasia — same lineage, different disease
lymphoma	B-cell lymphoma;CLL;lymphoid;DLBCL	EFO:0005719	MALY-DE,DLBC-US,CLLE-ES	Karpas-422 (B-cell lymphoma line, 1 replicate)
myeloma	multiple myeloma;plasma cell	EFO:0005724		MM.1S; PCAWG has no myeloma cohort
cervical cancer	cervix;cervical;cervical carcinoma	EFO:0002791	CESC-US	HeLa-S3 (cervical adenocarcinoma line); rE2G has no cervix tissue
ovary	ovarian;ovarian cancer	UBERON:0000992	OV-AU,OV-US	ovary (tissue); rE2G has no ovarian cancer line
stomach	gastric;gastric cancer	UBERON:0000945	GACA-CN,STAD-US	stomach (tissue); no gastric cancer line in rE2G
esophagus	esophageal;oesophageal;oesophagus	UBERON:0006920	ESAD-UK	esophagus squamous epithelium (tissue) vs an adenocarcinoma cohort
brain	glioma;glioblastoma;CNS;medulloblastoma	UBERON:0000955	GBM-US,LGG-US,PBCA-DE	brain (tissue); PBCA = paediatric brain tumours
kidney	renal	UBERON:0002113	KICH-US,KIRC-US,KIRP-US,RECA-EU	kidney (tissue)
kidney cancer	renal cancer;RCC;renal cell carcinoma	EFO:0000681	KICH-US,KIRC-US,KIRP-US,RECA-EU	RCC line (1 replicate)
bladder	urothelial;bladder cancer	UBERON:0001255	BLCA-US	urinary bladder (tissue)
uterus	endometrial;endometrium;uterine	UBERON:0000995	UCEC-US	uterus (tissue)
thyroid	thyroid cancer	UBERON:0002046	THCA-US	thyroid gland (tissue)
skin	melanoma;cutaneous	CL:0000312	MELA-AU,SKCM-US	keratinocyte; melanoma arises from melanocytes, absent from rE2G
bone	sarcoma;osteosarcoma;soft tissue		BOCA-UK,SARC-US	no bone/soft-tissue biosample in rE2G
head and neck	oral;HNSCC;oral cancer		HNSC-US,ORCA-IN	no matching rE2G biosample
biliary	bile duct;cholangiocarcinoma		BTCA-SG	no matching rE2G biosample
