accession	biosample_term	biosample_id	biosample_type	model
ENCSR825HVE	8988T	EFO:0005713	cell line	DNase-only
ENCSR356OTG	A172	EFO:0002101	cell line	DNase-only
ENCSR021KGI	A549	EFO:0001086	cell line	DNase-only
ENCSR054MMM	A549	EFO:0001086	cell line	DNase-only
ENCSR090HJT	A549	EFO:0001086	cell line	DNase-only
ENCSR165ODW	A549	EFO:0001086	cell line	DNase-only
ENCSR190YDU	A549	EFO:0001086	cell line	DNase-only
ENCSR349ZBW	A549	EFO:0001086	cell line	DNase-only
ENCSR424GRN	A549	EFO:0001086	cell line	DNase-only
ENCSR478GKR	A549	EFO:0001086	cell line	DNase-only
ENCSR490KUB	A549	EFO:0001086	cell line	DNase-only
ENCSR586QGX	A549	EFO:0001086	cell line	DNase-only
ENCSR601XON	A549	EFO:0001086	cell line	DNase-only
ENCSR629UOB	A549	EFO:0001086	cell line	DNase-only
ENCSR763OLM	A549	EFO:0001086	cell line	DNase-only
ENCSR964DGT	A549	EFO:0001086	cell line	DNase-only
ENCSR584CFN	A673	EFO:0002106	cell line	DNase-only
ENCSR629UWF	A673	EFO:0002106	cell line	DNase-only
ENCSR493YUS	ACHN	EFO:0002108	cell line	DNase-only
ENCSR901LTZ	AG04449	CLO:0034837	cell line	DNase-only
ENCSR971BWQ	AG04450	EFO:0006270	cell line	DNase-only
ENCSR155JXP	AG08395	CLO:0033911	cell line	DNase-only
ENCSR551DPI	AG08396	CLO:0033902	cell line	DNase-only
ENCSR428QIW	AG09309	CLO:0021752	cell line	DNase-only
ENCSR012RGL	AG09319	CLO:0021754	cell line	DNase-only
ENCSR905VRP	AG10803	CLO:0021511	cell line	DNase-only
ENCSR978XYK	AG20443	CLO:0011092	cell line	DNase-only
ENCSR206VGK	Ammon's horn	UBERON:0001954	tissue	DNase-only
ENCSR074ZJQ	B cell	CL:0000236	primary cell	DNase-only
ENCSR195EYQ	B cell	CL:0000236	primary cell	DNase-only
ENCSR273TFK	B cell	CL:0000236	primary cell	DNase-only
ENCSR498WAF	B cell	CL:0000236	primary cell	DNase-only
ENCSR512ITP	B cell	CL:0000236	primary cell	DNase-only
ENCSR851HOZ	B cell	CL:0000236	primary cell	DNase-only
ENCSR225USG	BE2C	EFO:0005725	cell line	DNase-only
ENCSR526HSH	BE2C	EFO:0005725	cell line	DNase-only
ENCSR348OAV	BJ	EFO:0002779	cell line	DNase-only
ENCSR821QDT	C803	EFO:0009495	cell line	DNase-only
ENCSR055KKJ	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR149LPI	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR303WHX	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR407QQL	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR557PDH	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR557RZP	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR824NLI	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR876WVC	CD14-positive monocyte	CL:0001054	primary cell	DNase-only
ENCSR719BDF	CD1c-positive myeloid dendritic cell	CL:0002399	primary cell	DNase-only
ENCSR145FXK	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792	primary cell	DNase-only
ENCSR389YOA	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792	primary cell	DNase-only
ENCSR573RFF	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792	primary cell	DNase-only
ENCSR868NGB	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792	primary cell	DNase-only
ENCSR897CBC	CD4-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000792	primary cell	DNase-only
ENCSR024DIA	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR079ZFC	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR083VOX	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR084MQO	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR098TOK	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR098XKP	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR142WHC	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
ENCSR142ZOC	CD4-positive, alpha-beta T cell	CL:0000624	primary cell	DNase-only
